timestamp,longitude_m,latitude_m
98848,-75.032824,-70.229682
99049,-75.271799,-70.122682
99249,-75.671119,-69.794303
99449,-76.206114,-69.425338
99649,-76.448172,-69.132011
99849,-76.963125,-68.680029
100050,-77.125011,-68.371943
100250,-77.461118,-67.812961
100450,-77.861979,-67.355444
100650,-77.889731,-67.003082
100850,-78.327594,-66.390600
101051,-78.447853,-65.958911
101251,-78.534192,-65.471877
101451,-78.961263,-64.868620
101651,-79.655061,-64.438775
101851,-79.783029,-63.879793
102052,-79.305079,-63.357708
102252,-79.448464,-62.909415
102452,-79.613434,-62.416847
102652,-79.744484,-61.955641
102852,-80.105259,-61.350538
103053,-80.325733,-60.940987
141093,-54.852551,-30.553025
141293,-54.408520,-29.912871
141493,-53.770226,-29.394475
141693,-53.432577,-28.968320
141893,-52.846703,-28.588286
142094,-52.373379,-28.171356
142294,-51.684206,-27.813459
142494,-51.178504,-27.341184
142694,-50.910236,-26.881823
142894,-50.191769,-26.391099
143095,-49.541141,-25.902220
143295,-49.107903,-25.310032
143495,-48.471150,-24.714153
143695,-47.954656,-24.269550
143895,-47.498291,-23.658913
144096,-46.722779,-23.214310
144296,-46.254080,-22.675621
144496,-45.466233,-22.194122
144696,-45.034537,-21.590864
144896,-44.485665,-21.092761
145097,-43.773366,-20.769917
145297,-43.441885,-20.188797
145497,-42.743461,-19.738659
145697,-41.957157,-19.268229
145897,-41.517751,-18.873436
146098,-40.763824,-18.436213
146298,-40.213411,-18.013748
146498,-39.522696,-17.729645
146698,-38.788812,-17.366214
146898,-38.142809,-17.076576
147099,-37.382715,-16.825680
147299,-36.656540,-16.565560
147499,-35.891820,-16.500991
147699,-34.943629,-16.462250
147899,-34.336170,-16.406905
148100,-33.525197,-16.338646
148300,-32.848359,-16.314664
148500,-32.168437,-16.368164
148700,-31.468472,-16.347870
148900,-30.754630,-16.434577
149101,-30.037706,-16.585853
149301,-29.268361,-16.631974
149501,-28.764201,-16.812766
149701,-28.045734,-17.008318
149901,-27.635623,-17.142990
150102,-26.981911,-17.416024
150302,-26.158604,-17.720420
150502,-25.881084,-17.923351
150702,-25.202704,-18.266489
150902,-24.629164,-18.533988
151103,-24.186675,-18.880816
151303,-23.625470,-19.140936
151503,-23.095100,-19.423194
151703,-22.698864,-19.775556
151903,-22.092947,-20.019073
152104,-21.687460,-20.312400
152304,-21.141673,-20.701658
152504,-20.865695,-20.849244
152704,-20.312198,-21.168399
152904,-19.681613,-21.428519
153105,-19.360924,-21.583485
153305,-18.916893,-21.673881
153505,-18.465154,-21.683105
153705,-18.027290,-21.930312
153905,-17.566300,-22.160915
154106,-17.133061,-22.266070
154306,-16.638152,-22.548328
154506,-16.295878,-22.642414
154706,-15.827179,-22.790000
154906,-15.296809,-23.105465
155107,-15.023915,-23.144207
155307,-14.447292,-23.478120
155507,-13.795122,-23.684741
155707,-13.465182,-23.758534
155907,-12.928645,-23.917189
156108,-12.356647,-24.118274
156308,-11.852487,-24.299067
156508,-11.135562,-24.461412
156708,-10.694615,-24.474326
156908,-10.000817,-24.590550
157110,-9.553703,-24.479860
157310,-8.875322,-24.466946
157510,-8.163023,-24.507533
157710,-7.848501,-24.164395
157910,-7.108450,-23.985447
158111,-6.542619,-23.701344
158311,-6.101672,-23.402482
158511,-5.586719,-23.013224
158711,-5.250613,-22.618432
158911,-4.710992,-22.253156
159112,-4.427306,-21.664657
159312,-4.140536,-21.177623
159512,-3.753551,-20.653693
159712,-3.641001,-20.035676
159912,-3.243224,-19.509901
160113,-2.957996,-18.998884
160313,-3.087505,-18.253575
160513,-2.691269,-17.672455
160713,-2.725188,-17.072887
160913,-2.723646,-16.504681
161114,-2.592595,-15.814716
161314,-2.663517,-15.148734
161514,-2.503172,-14.593442
161714,-2.621889,-13.857356
161914,-2.692810,-13.180306
162115,-2.546342,-12.595496
162315,-2.871656,-11.796687
162515,-2.860864,-11.204498
162715,-2.739064,-10.538516
162915,-3.139925,-9.811655
163116,-3.059753,-9.248983
163316,-3.192345,-8.739811
163516,-3.346522,-8.280450
163716,-3.287935,-7.749140
163916,-3.463697,-7.321140
164117,-3.361940,-7.029658
164317,-3.594748,-6.555538
164517,-3.694963,-6.323090
164717,-3.636376,-6.068504
164917,-3.807513,-5.771487
165118,-3.821389,-5.677401
165318,-3.681087,-5.527970
165518,-3.901561,-5.393298
165718,-3.836806,-5.293678
165918,-3.929313,-5.247557
166119,-4.007943,-5.253091
166319,-3.886143,-5.197747
166519,-5.546633,-5.206971
166719,-5.386289,-5.306591
166919,-5.429458,-5.171919
167120,-5.460294,-5.240178
167320,-5.364704,-5.337953
167520,-5.466461,-5.234643
